chain_detuning,channel_detuning,I_plus,I_minus,A_current,mu_probe_plus,mu_probe_minus,residual_plus,residual_minus
0.0,0.0,0.23551659704856917,0.23552547038605803,-1.8837675236074827e-05,0.07800584508875426,0.07799847064534254,8.618875543819904e-10,8.612221344059257e-10
0.0,0.2,0.23328941493961042,0.2332860406272642,7.232082840931279e-06,0.07907184437430725,0.07953618299792627,1.8381450875293304e-12,1.7706600075051426e-12
0.0,0.5,0.23297098734766816,0.23307247612989626,-0.00021776677537927588,0.08013093850100611,0.0813481220619404,4.0766001685454967e-17,2.862293735361732e-17
0.0,0.8,0.22801897740662966,0.2285754717375798,-0.0012187934653896447,0.07320812464566767,0.07419662203442996,6.168993267607892e-12,1.466318212683948e-11
0.0,1.2,0.15389211361405458,0.15375721979054888,0.00043846616539974814,0.0785938209129056,0.07954925245139569,1.6336570976202558e-09,1.2895466448142878e-09
0.25,0.0,0.23156754135529864,0.23157543976064648,-1.7053924316878477e-05,0.07830514427800399,0.07832384313988838,1.3385993702375032e-14,1.3504822260479443e-14
0.25,0.2,0.22818216384816328,0.2281901210222978,-1.743570851760607e-05,0.07615109896258401,0.07665400824271323,6.395835250305737e-12,6.417954709347917e-12
0.25,0.5,0.222485141607373,0.22268422920332592,-0.0004472176412100269,0.07250718760669628,0.07338247415366053,1.3704315460216776e-16,1.2836953722228372e-16
0.25,0.8,0.20242078737663693,0.2026886722516009,-0.0006612654150554565,0.06208781481200708,0.0632586615188461,4.6964463568111015e-12,4.780800755277426e-12
0.25,1.2,0.16644334457546786,0.16653395575084026,-0.00027212418168927777,0.07689505832437019,0.07840558141154648,8.803556841852078e-13,7.380675931534242e-13
0.5,0.0,0.23027665187242388,0.23024538793047497,6.78880471438287e-05,0.07820032279553356,0.07825782510504267,1.814086131313175e-09,1.876691729102431e-09
0.5,0.2,0.22440263151174075,0.2244658313696743,-0.0001407981695302129,0.0738355996141029,0.07431692645968394,2.9394889300426996e-14,1.1070984580474619e-10
0.5,0.5,0.2010390105354176,0.20123279138312414,-0.00048171620974265584,0.05789489220254871,0.05829168082666803,5.92218340339512e-11,7.753165817692143e-11
0.5,0.8,0.17766865475552962,0.17791220842651517,-0.0006849459467700924,0.07087727253836872,0.07225683466805423,8.771063389478861e-10,8.939513712613589e-10
0.5,1.2,0.15542281652745485,0.15646344777930749,-0.0033365728823155265,0.06859747641067102,0.07178729918353273,7.792940858591946e-11,4.8407306808828654e-11
0.8,0.0,0.23083477915555978,0.23082051124167602,3.0905990206419454e-05,0.07000318363550326,0.0699928786385597,2.0600093159073296e-09,2.061208454785801e-09
0.8,0.2,0.20731304498463307,0.20739200617374925,-0.00019040324899738666,0.06028510015746086,0.06058553340626337,1.4976330592331166e-10,1.4849631593816248e-10
0.8,0.5,0.17785289639377982,0.17794368435134328,-0.000255168156403646,0.06997143469588404,0.0706342285720449,7.135785018430596e-15,7.196500340089784e-15
0.8,0.8,0.1596316861820369,0.15996355672845886,-0.0010384089055884018,0.06402171911604268,0.06502537396022992,6.83481049534862e-16,5.88938620094126e-16
0.8,1.2,0.1304171652996796,0.1301679919210735,0.0009562071042864375,0.06936997779883508,0.07131300787820612,3.944157500601619e-12,5.511464548635381e-12
1.2,0.0,0.1550255160768225,0.15505686326428392,-0.00010109309509309105,0.06712245931457975,0.06702976249650776,2.6449632414826674e-12,2.652028770200321e-12
1.2,0.2,0.17840537044214158,0.17826549627848431,0.00039216593422200497,0.08193498418316451,0.08202886772184924,9.54402702701973e-12,9.461610314676072e-12
1.2,0.5,0.16000639071811476,0.1600713727931204,-0.0002030196483903851,0.05800201434379872,0.05787282806135837,1.626083642736198e-11,1.5639244239917804e-11
1.2,0.8,0.12700829026202864,0.12680865703258629,0.000786524428609713,0.06548262685481167,0.06520526800050358,3.3621716521992084e-13,3.3457871889686075e-13
1.2,1.2,0.1172120482758377,0.11710186924641722,0.0004702197401911355,0.06293910558426523,0.06311071668243762,3.832154558958134e-11,3.831203063131561e-11
