lambda_soc,I_plus,I_minus,Delta_I,A_current,Iz_plus,Iz_minus,mu_probe_plus,mu_probe_minus,residual
0.0,0.16202790625199343,0.16202790625199343,0.0,0.0,0.020325672359078208,-0.020325672359078208,0.062002039225385545,0.062002039225385545,1.6668597058178136e-11
0.02,0.16180837822090163,0.1618438499268718,-3.5471705970180345e-05,-0.00010959821340696792,0.020454106081805878,-0.020268480653654237,0.062234397890362524,0.06234205414428448,1.1248869891122837e-11
0.04,0.16116622127422947,0.16130572813593755,-0.00013950686170807747,-0.0004326170445623233,0.020788293052016106,-0.020153820282988393,0.06291007347570741,0.06333300260023816,3.355170308250166e-12
0.06,0.1601451984012644,0.16045039367623765,-0.0003051952749732467,-0.0009519634159519811,0.021205361534245654,-0.020117230429058608,0.06396999007944454,0.06489435058443191,9.165287417900458e-10
0.09,0.15803470920559762,0.15867842251065303,-0.0006437133050554156,-0.0020324806286596622,0.02171081006060558,-0.020505165491977916,0.06609576486977947,0.06804889038118463,4.192296509941684e-11
0.12,0.1554228000135475,0.1564634181022344,-0.001040618088686912,-0.003336531171443434,0.021864612394663006,-0.021628531112393642,0.06859723305350214,0.071787031599683,6.962758147821546e-11
0.16,0.15151223285537124,0.15306125475142734,-0.001549021896056102,-0.005085872405466474,0.02152532300028819,-0.024176372705328582,0.07207155942128726,0.07698852740550785,1.9640374049334497e-10
0.2,0.14747934478403923,0.14939669355380827,-0.0019173487697690395,-0.006458415372638057,0.020839865680579498,-0.0274341930648955,0.07526857543256808,0.08177264560995777,3.8270717150901135e-10
0.24,0.14361935476935614,0.14570409524799194,-0.0020847404786357993,-0.007205570369462955,0.020118978538209067,-0.03083216157745592,0.07780560510280939,0.08562494522428321,1.6698683547033966e-09
