chirality,probe_kind,gamma_probe,I_plus,I_minus,A_current,Iz_plus,Iz_minus,mu_probe_plus,mu_probe_minus,residual_plus,residual_minus
1,all,0.05,0.19545788603243938,0.19528451080959955,0.000443707220514189,0.04135034909199986,-0.03513628930987648,0.06351206537628878,0.0613798886064754,1.6433816113492483e-13,6.730596982529313e-14
1,all,0.1,0.18556843545230245,0.18549284374484418,0.0002037175843888312,0.037977247032059944,-0.0320438515233498,0.06523847960624474,0.06356603885251018,3.2914699611696907e-12,1.0349489494576591e-11
1,all,0.25,0.16391728299830657,0.16408720005293576,-0.0005180327203108273,0.030722740271903182,-0.027416555895130236,0.06785869616160499,0.06705608466440628,1.8355802988700987e-13,1.5073792908326666e-13
1,all,0.5,0.14163978838648417,0.1417749448133896,-0.0004768856769704634,0.02450095287719119,-0.023426090077250165,0.06909107088515078,0.06884215367934884,1.7379327144073642e-14,1.7263100671183196e-14
1,all,0.8,0.12593362002169461,0.12598338330257522,-0.00019753839647159124,0.021017985344381433,-0.020684710113882607,0.0693728322848911,0.06930817006746096,1.0952133297492672e-11,1.0916765755264457e-11
1,all,1.2,0.11324941536759447,0.11326116828116091,-5.188681860737935e-05,0.01889886099408503,-0.018800601138010433,0.06961423473372227,0.069604857988392,1.3343065367876772e-10,1.3349572142162813e-10
1,tau_plus,0.05,0.2007645838521516,0.20119061538686306,-0.0010598980570920087,0.041853186977953497,-0.03750947324404719,0.0736216218206689,0.08310088235795267,2.368362647924699e-10,3.0134932852039775e-11
1,tau_plus,0.1,0.19481303537540118,0.195548768847553,-0.0018847475961854645,0.039158326952338215,-0.03498974233480152,0.07181381609429434,0.0803133204442322,4.461194001020852e-12,2.4703152067331868e-11
1,tau_plus,0.25,0.18113557930012703,0.18231827224652586,-0.0032540388315214293,0.03297383164503246,-0.02970753707487994,0.06918322806426595,0.07554776066348291,1.4643255358270935e-11,3.1474337025549914e-12
1,tau_plus,0.5,0.1664060517290848,0.16763325338062163,-0.003673824106219457,0.02636053067621662,-0.024730333787643846,0.06841887949199006,0.07279166195038665,2.5379004453540688e-15,8.367438686374129e-14
