chain_detuning,channel_detuning,I_plus,I_minus,Delta_I,A_current,Iz_plus,Iz_minus,mu_probe_plus,mu_probe_minus,residual
0.0,0.0,0.23551659704856917,0.23552547038605803,-8.873337488862765e-06,-1.8837675236074827e-05,0.025748756738767635,-0.02565509299965026,0.07800584508875424,0.07799847064534253,8.618875613208843e-10
0.0,0.19999999999999998,0.23328941493961047,0.2332860406272642,3.3743123462603997e-06,7.232082841050254e-06,0.03108424801379829,-0.032163223944595955,0.07907184437430721,0.07953618299792627,1.83816243476409e-12
0.0,0.39999999999999997,0.23161744018544378,0.231632351098909,-1.4910913465226994e-05,-3.2187631264520856e-05,0.03775525658211335,-0.03984447173426839,0.07974081766789866,0.08075638245109318,1.5318007279274681e-12
0.0,0.6,0.23485294263521153,0.23512886941231292,-0.0002759267771013929,-0.0005871009686508704,0.030518010159543533,-0.03440195664984099,0.07991262310078032,0.081187627774029,5.902396627011086e-15
0.0,0.7999999999999999,0.22801897740662974,0.22857547173757983,-0.0005564943309500914,-0.0012187934653895228,0.009924683874276299,-0.0178332488143599,0.07320812464566769,0.07419662203442993,1.4663178657392528e-11
0.0,0.9999999999999999,0.19459265693929909,0.19458067219301564,1.198474628344437e-05,3.079539471567869e-05,0.002382817406177493,-0.013825428312927204,0.06394295189473372,0.06443404793415597,1.789455389422656e-11
0.0,1.2,0.1538921136140546,0.1537572197905489,0.0001348938235057051,0.000438466165399748,0.015117015981970641,-0.022319832045839254,0.07859382091290558,0.07954925245139567,1.6336570993549793e-09
0.0,1.4,0.13484394016278226,0.13497363925026898,-0.0001296990874867232,-0.0004806917613332113,0.026009496028644975,-0.02195133058492577,0.09553354547546554,0.09949428007869368,1.1040615643942431e-10
0.19999999999999998,0.0,0.23268437636242187,0.2326945455779341,-1.0169215512223495e-05,-2.185147421336544e-05,0.03086863728318988,-0.030778954443122102,0.07831851308625695,0.07832979310302138,6.704532762302762e-13
0.19999999999999998,0.19999999999999998,0.228933824912192,0.2289369981462616,-3.1732340695922456e-06,-6.930413360685221e-06,0.033333983591762456,-0.034225910221885314,0.07650035067963078,0.0769981156462996,5.216150428255517e-12
0.19999999999999998,0.39999999999999997,0.2266409811721169,0.22671294069523687,-7.195952311997433e-05,-0.0001587270334478961,0.031500279623411,-0.03320020595040009,0.07604237783364591,0.07694040037784852,7.115691594977713e-10
0.19999999999999998,0.6,0.22156031832436135,0.22183839667239055,-0.0002780783480292037,-0.0006271519032959778,0.023589305118191246,-0.026804011394946564,0.07173647199590148,0.07273242301975633,2.0827090052577546e-14
0.19999999999999998,0.7999999999999999,0.20919509968983677,0.20953691023757315,-0.000341810547736382,-0.0008162990639183214,0.018047088519105307,-0.023666568495067895,0.06362740647006712,0.06477102386414645,6.939688199092409e-10
