case,chirality,lambda_soc,gamma_hybrid,polarization,I_plus,I_minus,A_current
coherent,1,0.12,0.8,0.65,0.20979675977812168,0.2097967597781217,-6.614872328100503e-17
elastic_probe,1,0.12,0.8,0.65,0.13092729911134807,0.13092729911134804,1.0599613603891725e-16
voltage_candidate,1,0.12,0.8,0.65,0.15542280001352943,0.15646341810221415,-0.0033365311714368133
voltage_chi_flip,-1,0.12,0.8,0.65,0.15646341810221415,0.15542280001352943,0.0033365311714368133
voltage_lambda0,1,0.0,0.8,0.65,0.1620278808638892,0.1620278808638892,0.0
voltage_pFM0,1,0.12,0.8,0.0,0.17207258652300328,0.17207258652300328,0.0
