bias,I_plus,I_minus,Delta_I,A_current,Iz_plus,Iz_minus,mu_probe_plus,mu_probe_minus,residual
-0.4,-0.16339410357703005,-0.1623464364839391,-0.0010476670930909537,-0.0032162625287440764,-0.03197757981401499,0.026130596630861248,0.036371606814298935,0.03317356700097743,7.189357997816614e-10
-0.30000000000000004,-0.12280367667114958,-0.12209484569025628,-0.0007088309808933047,-0.002894386515927019,-0.023015703721975856,0.018682822159674504,0.03902411405621829,0.036554955328925734,6.525446780147881e-10
-0.2,-0.08145986116936951,-0.08111216376220949,-0.00034769740716002195,-0.0021387284024195173,-0.01464423256240197,0.012152045445044304,0.04252310034935223,0.0409208873567599,5.585319359791008e-10
-0.1,-0.04039724169798972,-0.04030812889884307,-8.911279914665393e-05,-0.0011041743379362051,-0.007049985617116397,0.0060917696617131456,0.04623545925201609,0.04547230526509999,4.5776731537328086e-10
-0.04000000000000001,-0.016080369686889907,-0.016066122405749284,-1.4247281140623153e-05,-0.00044319862644936787,-0.002760258407015775,0.002439885464839413,0.04848152875834685,0.048181833257150995,3.990481969385132e-10
-0.020000000000000004,-0.008027959063821713,-0.008024400278635003,-3.5587851867097814e-06,-0.00022169857469469845,-0.0013697388703426093,0.0012186646435524316,0.04923764923101522,0.049088223594454215,3.798600087365385e-10
0.020000000000000004,0.008004998024135176,0.0080085508123792,-3.552788244024288e-06,-0.00022186139251801314,0.0013477219603593787,-0.0012126002367071722,0.050770232896638755,0.05091963860911439,3.450281566529101e-10
0.04000000000000001,0.015988488427597182,0.016002688020443273,-1.4199592846091125e-05,-0.0004438596645282449,0.0026719952718486984,-0.0024155443091090066,0.05155001195231712,0.05184962746954483,3.2926473765397535e-10
0.1,0.03982197395264307,0.03991037425450198,-8.840030185890829e-05,-0.0011087131364705808,0.00648958725820705,-0.005934974092852118,0.05396266358149654,0.05472530564925952,2.822517766384869e-10
0.2,0.0791736619474607,0.0795168129901267,-0.0003431510426659956,-0.0021623921839099424,0.012277313131405026,-0.011417572369718146,0.05831293786178716,0.059912972861078176,2.052204205182928e-10
0.30000000000000004,0.11787857864698759,0.11857861010620527,-0.0007000314592176815,-0.0029604997966391033,0.017361380197247762,-0.01655589572029636,0.06318394476137548,0.06564808251939779,1.3245914087800514e-10
0.4,0.1554228000135475,0.1564634181022344,-0.001040618088686912,-0.003336531171443434,0.021864612394663006,-0.021628531112393642,0.06859723305350214,0.071787031599683,6.962758147821546e-11
