temperature,I_plus,I_minus,Delta_I,A_current,Iz_plus,Iz_minus,mu_probe_plus,mu_probe_minus,residual
0.005,0.1561523396451614,0.157351417499264,-0.0011990778541026148,-0.003824763904026266,0.021798573930174422,-0.021450435182444924,0.06814652927559821,0.07197191470785469,7.041450755806977e-13
0.01,0.15607300231768437,0.15725625680664637,-0.0011832544889620045,-0.0037763932173741958,0.02180649564305193,-0.02147415035889913,0.06840108544408989,0.07171263909004921,4.658848862248988e-10
0.02,0.15580313907454305,0.15692893502943844,-0.0011257959548953977,-0.0035998736558152888,0.021832424738445908,-0.021549054613275012,0.0684657798685541,0.07172007638404548,1.0022948443433322e-10
0.03,0.1554228000135475,0.1564634181022344,-0.001040618088686912,-0.003336531171443434,0.021864612394663006,-0.021628531112393642,0.06859723305350214,0.071787031599683,6.962758147821546e-11
0.05,0.15447348935460692,0.15531049331599192,-0.0008370039613850022,-0.002701895540787239,0.021915088416529976,-0.021718252863201955,0.06906220359379091,0.0721221539325195,6.489333376213935e-11
0.08,0.15286907470496278,0.15343494489438564,-0.0005658701894228624,-0.0018474135277853408,0.021755049340140747,-0.021575019830787127,0.06997066788439525,0.0728434513278037,1.933142534937815e-11
0.12,0.150998286679069,0.15133551954480495,-0.000337232865735948,-0.0011154322103371788,0.02093999241234757,-0.020831851985317375,0.07094731128360506,0.07355589668018135,9.209599853565731e-10
0.2,0.14869916185019394,0.14885576492631367,-0.0001566030761197268,-0.0005262997249491041,0.01882778573980663,-0.018791373966892764,0.07157885888611239,0.07370939987518496,1.0554891214514805e-09
