n_sites,I_plus,I_minus,Delta_I,A_current,Iz_plus,Iz_minus,mu_probe_plus,mu_probe_minus,residual
4,0.13473019129211478,0.13456427092780063,0.00016592036431414825,0.000616129878596062,0.025575601576151664,-0.023081330245938555,0.05681736248703232,0.058750313058425194,1.5400578728952397e-10
5,0.15592239233065716,0.15573258227493986,0.00018981005571730436,0.0006090390694309026,0.004271375179525034,-0.0042545983815407695,0.06709352347998594,0.06742488587816262,5.111883139008455e-14
6,0.1554228000135475,0.1564634181022344,-0.001040618088686912,-0.003336531171443434,0.021864612394663006,-0.021628531112393642,0.06859723305350214,0.071787031599683,6.962758147821546e-11
7,0.1384122997008412,0.138305097871452,0.00010720182938919742,0.0003874054552756866,0.023000778460453147,-0.022978190400626302,0.0750626900020436,0.07804797927642959,1.4544615511979941e-13
8,0.1382723817443539,0.1379520712961234,0.0003203104482304986,0.0011596020725346897,0.013781964441972699,-0.018776666511976316,0.06745668375338962,0.06805140230277135,3.040963730827073e-10
10,0.13427834214147888,0.1344883774535186,-0.0002100353120397247,-0.000781478124807362,0.016181272046197,-0.02265686700777649,0.07454822017825984,0.07699512595452031,2.6038306927267385e-10
12,0.13242582707652,0.13308973258189635,-0.0006639055053763443,-0.0025004391691035113,0.012031715055284416,-0.02085537269705821,0.06513521786769882,0.06707507640393437,4.9407533619927335e-11
